차카, 63, 158
다마, 54, 188
라자, 59, 164
사가, 56, 195
차카, 44, 169
자사, 89, 160
나파, 73, 147
나가, 79, 176
카차, 96, 196
카다, 60, 179
가하, 64, 187
바카, 46, 190
나바, 85, 174
파나, 50, 197
나아, 91, 143
사아, 51, 192
타마, 86, 189
파하, 99, 146
파사, 97, 195
카하, 47, 155
사타, 56, 185
아아, 48, 196
사나, 40, 152
아나, 53, 163
파바, 80, 153
사다, 75, 163
바바, 70, 152
라마, 55, 157
차자, 80, 186
다타, 62, 179
카아, 57, 144
사아, 41, 188
차카, 49, 159
사바, 64, 194
다타, 99, 141
라사, 61, 158
파파, 60, 177
타카, 49, 186
가사, 72, 157
사사, 68, 159
카라, 55, 166
아다, 65, 168
아아, 79, 153
아마, 61, 187
나카, 99, 164
마라, 52, 164
다자, 56, 159
사아, 90, 189
바나, 53, 155
자하, 46, 173
사나, 99, 140
바라, 94, 149
아바, 97, 162
사차, 90, 186
가카, 69, 188
아나, 91, 182
차타, 44, 159
사사, 46, 194
다카, 57, 159
아마, 92, 184
나자, 76, 168
라라, 86, 177
아라, 58, 163
바나, 58, 186
라라, 97, 161
차자, 76, 180
차차, 57, 180
바다, 50, 148
마나, 85, 142
자사, 92, 140
사마, 67, 192
마자, 62, 170
아바, 96, 145
다나, 62, 178
차파, 85, 147
다차, 75, 154
바아, 78, 158
마사, 49, 177
자가, 94, 164
마마, 49, 196
다바, 57, 174
타라, 80, 198
나바, 94, 168
바나, 66, 153
사다, 59, 159
아차, 95, 178
타가, 88, 178
바카, 77, 156
타파, 79, 188
아아, 50, 141
아자, 43, 169
나다, 62, 156
마나, 50, 141
자자, 47, 189
아마, 52, 192
나라, 99, 152
가바, 86, 199
라타, 42, 157
하자, 81, 166
바사, 56, 176
하타, 89, 145
아아, 82, 178
자사, 94, 173
타마, 89, 194
차사, 90, 185
가아, 92, 184
하아, 40, 144
자타, 59, 163
바가, 45, 197
차자, 63, 166
사나, 76, 141
타차, 61, 194
하라, 65, 177
타사, 47, 195
카마, 75, 155
하마, 59, 190
하타, 51, 184
가라, 72, 176
자바, 56, 158
하마, 42, 153
하자, 64, 175
사가, 63, 158
아하, 71, 150
가타, 62, 159
나아, 46, 166
차마, 94, 190
파라, 73, 176
마라, 52, 151
사가, 55, 146
라타, 61, 143
라아, 59, 160
하사, 91, 198
차카, 46, 157
타라, 43, 147
카하, 73, 196
바하, 89, 192
가가, 68, 146
차가, 74, 182
가마, 99, 176
나나, 49, 196
타바, 72, 185
자아, 87, 190
하카, 45, 167
나하, 85, 180
타바, 41, 172
가파, 71, 184
파하, 93, 163
하타, 41, 173
가차, 58, 197
가자, 95, 140
나나, 60, 144
사바, 90, 163
다타, 73, 141
나파, 85, 150
카차, 87, 194
바마, 45, 192
나타, 70, 162
파다, 54, 154
카라, 82, 145
파라, 88, 181
카카, 83, 161
타다, 61, 167
마마, 98, 141
가나, 80, 199
가마, 63, 169
카하, 76, 187
파차, 83, 159
아나, 97, 176
타다, 68, 160
바마, 86, 164
다타, 94, 161
자바, 99, 189
하파, 93, 144
파바, 53, 175
마나, 70, 176
타나, 68, 163
바자, 94, 193
타바, 67, 176
아마, 81, 195
차하, 78, 167
아파, 47, 154
타아, 87, 152
바나, 92, 175
차자, 90, 164
아나, 68, 169
라아, 69, 173
차라, 83, 190
나타, 77, 176
나다, 90, 180
아사, 65, 196
가차, 44, 143
하하, 82, 152
타사, 50, 196
파타, 91, 198
다타, 91, 148
다자, 90, 178
라파, 63, 198
파가, 95, 193
바바, 82, 185
라자, 73, 197
아바, 69, 147
바차, 48, 198
바아, 59, 157
마자, 71, 174
타다, 82, 172
다차, 62, 182
자라, 89, 184
카자, 46, 146
나파, 67, 150
차카, 41, 193
사마, 72, 152
아나, 83, 185
다자, 50, 189
라자, 99, 181
하카, 74, 176
가라, 77, 195
가하, 71, 164
하사, 83, 184
아나, 87, 153
타다, 86, 153
나파, 62, 176
파자, 83, 181
가바, 40, 145
바아, 64, 156
라아, 91, 154
라마, 90, 196
바하, 77, 161
바마, 46, 173
타라, 61, 181
파사, 63, 197
자가, 59, 148
다다, 65, 147
카나, 83, 181
카자, 86, 185
파바, 58, 183
아사, 98, 172
바하, 41, 190
차자, 90, 186
아사, 86, 192
가파, 80, 164
파타, 98, 174
다파, 73, 175
가아, 82, 151
차파, 68, 145
가다, 45, 166
다하, 80, 163
마차, 53, 147
아라, 70, 168
다바, 51, 153
나자, 74, 177
아하, 91, 190
라타, 59, 157
차타, 57, 164
라차, 60, 196
카라, 98, 143
카라, 47, 186
차아, 90, 185
사차, 58, 197
다다, 45, 158
차나, 92, 164
차가, 91, 176
차하, 68, 167
가파, 73, 153
다파, 56, 167
마자, 74, 152
아마, 86, 145
차마, 81, 145
라라, 53, 176
카다, 96, 172
